GEBIET_NAME,INDIKATOR_NAME,INDIKATOR_JAHR,INDIKATOR_VALUE
Mettmenstetten,Gemeindebeitrag an ZVV [Fr./Einw.],1996,75
Mettmenstetten,Gemeindebeitrag an ZVV [Fr./Einw.],1997,70
Mettmenstetten,Gemeindebeitrag an ZVV [Fr./Einw.],1998,64
Mettmenstetten,Gemeindebeitrag an ZVV [Fr./Einw.],1999,57
Mettmenstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2000,53
Mettmenstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2001,51
Mettmenstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2002,49
Mettmenstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2003,53
Mettmenstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2004,53
Mettmenstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2005,49
Mettmenstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2006,49
Mettmenstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2007,48
Mettmenstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2008,54
Mettmenstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2009,60
Mettmenstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2010,62
Mettmenstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2011,58
Mettmenstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2012,57
Mettmenstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2013,55
Mettmenstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2014,55
Mettmenstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2015,56
Mettmenstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2016,54
Mettmenstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2017,55
Mettmenstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2018,55
Mettmenstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2019,50
Mettmenstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2020,59
Mettmenstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2021,66
Obfelden,Gemeindebeitrag an ZVV [Fr./Einw.],1994,33
Obfelden,Gemeindebeitrag an ZVV [Fr./Einw.],1995,33
Obfelden,Gemeindebeitrag an ZVV [Fr./Einw.],1996,37
Obfelden,Gemeindebeitrag an ZVV [Fr./Einw.],1997,35
Obfelden,Gemeindebeitrag an ZVV [Fr./Einw.],1998,32
Obfelden,Gemeindebeitrag an ZVV [Fr./Einw.],1999,29
